NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
Kansas City Chiefsxz*,14,1,0,0.933,452,324,128,6 - 1 - 0,8 - 0 - 0,4 - 1 - 0,0.800,10 - 1 - 0,0.909,4 - 0 - 0,10W,5 - 0 - 0
Buffalo Billsxz,12,3,0,0.8,445,349,96,6 - 1 - 0,6 - 2 - 0,5 - 0 - 0,1.000,9 - 2 - 0,0.818,3 - 1 - 0,5W,5 - 0 - 0
Green Bay Packersxz,12,3,0,0.8,474,353,121,7 - 1 - 0,5 - 2 - 0,4 - 1 - 0,0.800,9 - 2 - 0,0.818,3 - 1 - 0,5W,5 - 0 - 0
Pittsburgh Steelersxz,12,3,0,0.8,394,288,106,7 - 1 - 0,5 - 2 - 0,4 - 1 - 0,0.800,9 - 2 - 0,0.818,3 - 1 - 0,1W,2 - 3 - 0
New Orleans Saintsxz,11,4,0,0.733,449,330,119,6 - 2 - 0,5 - 2 - 0,5 - 0 - 0,1.000,9 - 2 - 0,0.818,2 - 2 - 0,1W,3 - 2 - 0
Seattle Seahawksxz,11,4,0,0.733,433,348,85,7 - 1 - 0,4 - 3 - 0,3 - 2 - 0,0.600,8 - 3 - 0,0.727,3 - 1 - 0,3W,4 - 1 - 0
Baltimore Ravens,10,5,0,0.667,430,300,130,5 - 3 - 0,5 - 2 - 0,3 - 2 - 0,0.600,6 - 5 - 0,0.545,4 - 0 - 0,4W,4 - 1 - 0
Cleveland Browns,10,5,0,0.667,384,397,-13,5 - 2 - 0,5 - 3 - 0,2 - 3 - 0,0.400,6 - 5 - 0,0.545,4 - 0 - 0,1L,3 - 2 - 0
Indianapolis Colts,10,5,0,0.667,423,348,75,5 - 2 - 0,5 - 3 - 0,3 - 2 - 0,0.600,6 - 5 - 0,0.545,4 - 0 - 0,1L,3 - 2 - 0
Miami Dolphins,10,5,0,0.667,378,282,96,5 - 3 - 0,5 - 2 - 0,3 - 2 - 0,0.600,7 - 4 - 0,0.636,3 - 1 - 0,2W,4 - 1 - 0
Tampa Bay Buccaneersx,10,5,0,0.667,448,328,120,4 - 3 - 0,6 - 2 - 0,3 - 2 - 0,0.600,7 - 4 - 0,0.636,3 - 1 - 0,3W,3 - 2 - 0
Tennessee Titans,10,5,0,0.667,450,401,49,5 - 3 - 0,5 - 2 - 0,4 - 1 - 0,0.800,7 - 4 - 0,0.636,3 - 1 - 0,1L,3 - 2 - 0
Los Angeles Rams,9,6,0,0.6,354,289,65,5 - 2 - 0,4 - 4 - 0,2 - 3 - 0,0.400,8 - 3 - 0,0.727,1 - 3 - 0,2L,2 - 3 - 0
Arizona Cardinals,8,7,0,0.533,403,349,54,4 - 4 - 0,4 - 3 - 0,2 - 3 - 0,0.400,6 - 5 - 0,0.545,2 - 2 - 0,1L,2 - 3 - 0
Chicago Bears,8,7,0,0.533,356,335,21,3 - 4 - 0,5 - 3 - 0,2 - 3 - 0,0.400,6 - 5 - 0,0.545,2 - 2 - 0,3W,3 - 2 - 0
Las Vegas Raiders,7,8,0,0.467,402,447,-45,2 - 6 - 0,5 - 2 - 0,3 - 2 - 0,0.600,5 - 6 - 0,0.455,2 - 2 - 0,3L,1 - 4 - 0
Dallas Cowboys,6,9,0,0.4,376,450,-74,4 - 4 - 0,2 - 5 - 0,2 - 3 - 0,0.400,5 - 6 - 0,0.455,1 - 3 - 0,3W,3 - 2 - 0
Los Angeles Chargers,6,9,0,0.4,346,405,-59,4 - 4 - 0,2 - 5 - 0,2 - 3 - 0,0.400,5 - 6 - 0,0.455,1 - 3 - 0,3W,3 - 2 - 0
Minnesota Vikings,6,9,0,0.4,393,440,-47,3 - 5 - 0,3 - 4 - 0,3 - 2 - 0,0.600,4 - 7 - 0,0.364,2 - 2 - 0,3L,2 - 3 - 0
New England Patriots,6,9,0,0.4,298,339,-41,4 - 3 - 0,2 - 6 - 0,2 - 3 - 0,0.400,5 - 6 - 0,0.455,1 - 3 - 0,3L,2 - 3 - 0
San Francisco 49ers,6,9,0,0.4,353,364,-11,1 - 6 - 0,5 - 3 - 0,3 - 2 - 0,0.600,4 - 7 - 0,0.364,2 - 2 - 0,1W,2 - 3 - 0
Washington Football Team,6,9,0,0.4,315,315,0,3 - 5 - 0,3 - 4 - 0,3 - 2 - 0,0.600,4 - 7 - 0,0.364,2 - 2 - 0,2L,3 - 2 - 0
Carolina Panthers,5,10,0,0.333,343,369,-26,2 - 5 - 0,3 - 5 - 0,1 - 4 - 0,0.200,4 - 7 - 0,0.364,1 - 3 - 0,1W,2 - 3 - 0
Denver Broncos,5,10,0,0.333,292,414,-122,2 - 5 - 0,3 - 5 - 0,1 - 4 - 0,0.200,4 - 7 - 0,0.364,1 - 3 - 0,2L,1 - 4 - 0
Detroit Lions,5,10,0,0.333,342,482,-140,1 - 6 - 0,4 - 4 - 0,1 - 4 - 0,0.200,4 - 7 - 0,0.364,1 - 3 - 0,3L,1 - 4 - 0
New York Giants,5,10,0,0.333,257,338,-81,2 - 5 - 0,3 - 5 - 0,3 - 2 - 0,0.600,4 - 7 - 0,0.364,1 - 3 - 0,3L,2 - 3 - 0
Cincinnati Bengals,4,10,1,0.3,308,386,-78,3 - 4 - 0,1 - 6 - 1,1 - 4 - 0,0.200,4 - 7 - 0,0.364,0 - 3 - 1,2W,2 - 3 - 0
Philadelphia Eagles,4,10,1,0.3,320,398,-78,3 - 3 - 1,1 - 7 - 0,2 - 3 - 0,0.400,4 - 7 - 0,0.364,0 - 3 - 1,2L,1 - 4 - 0
Atlanta Falcons,4,11,0,0.267,369,370,-1,2 - 6 - 0,2 - 5 - 0,1 - 4 - 0,0.200,2 - 9 - 0,0.182,2 - 2 - 0,4L,1 - 4 - 0
Houston Texans,4,11,0,0.267,346,423,-77,2 - 5 - 0,2 - 6 - 0,2 - 3 - 0,0.400,3 - 8 - 0,0.273,1 - 3 - 0,4L,1 - 4 - 0
New York Jets,2,13,0,0.133,229,429,-200,1 - 7 - 0,1 - 6 - 0,0 - 5 - 0,0.000,1 - 10 - 0,0.091,1 - 3 - 0,2W,2 - 3 - 0
Jacksonville Jaguars,1,14,0,0.067,292,464,-172,1 - 7 - 0,0 - 7 - 0,1 - 4 - 0,0.200,1 - 10 - 0,0.091,0 - 4 - 0,14L,0 - 5 - 0