NFL,WINS,LOSSES,TIES,PCT,HOME,AWAY,PF,PA,NET PTS,TD,DIVISION,CONFERENCE
Buffalo Bills,12,3,0,0.8,6-1,6-2,445,349,96,52,5-0,9-2
Miami Dolphins,10,5,0,0.667,5-3,5-2,378,282,96,39,3-2,7-4
New England Patriots,6,9,0,0.4,4-3,2-6,298,339,-41,32,2-3,5-6
New York Jets,2,13,0,0.133,1-7,1-6,229,429,-200,24,0-5,1-10
Pittsburgh Steelers,12,3,0,0.8,7-1,5-2,394,288,106,48,4-1,9-2
Baltimore Ravens,10,5,0,0.667,5-3,5-2,430,300,130,50,3-2,6-5
Cleveland Browns,10,5,0,0.667,5-2,5-3,384,397,-13,47,2-3,6-5
Cincinnati Bengals,4,10,1,0.3,3-4,1-6,308,386,-78,33,1-4,4-7
Tennessee Titans,10,5,0,0.667,5-3,5-2,450,401,49,57,4-1,7-4
Indianapolis Colts,10,5,0,0.667,5-2,5-3,423,348,75,48,3-2,6-5
Houston Texans,4,11,0,0.267,2-5,2-6,346,423,-77,40,2-3,3-8
Jacksonville Jaguars,1,14,0,0.067,1-7,0-7,292,464,-172,35,1-4,1-10
Kansas City Chiefs,14,1,0,0.933,6-1,8-0,452,324,128,54,4-1,10-1
Las Vegas Raiders,7,8,0,0.467,2-6,5-2,402,447,-45,44,3-2,5-6
Los Angeles Chargers,6,9,0,0.4,4-4,2-5,346,405,-59,40,2-3,5-6
Denver Broncos,5,10,0,0.333,2-5,3-5,292,414,-122,32,1-4,4-7
Washington Football Team,6,9,0,0.4,3-5,3-4,315,315,0,35,3-2,4-7
Dallas Cowboys,6,9,0,0.4,4-4,2-5,376,450,-74,41,2-3,5-6
New York Giants,5,10,0,0.333,2-5,3-5,257,338,-81,24,3-2,4-7
Philadelphia Eagles,4,10,1,0.3,3-3-1,1-7,320,398,-78,40,2-3,4-7
Green Bay Packers,12,3,0,0.8,7-1,5-2,474,353,121,61,4-1,9-2
Chicago Bears,8,7,0,0.533,3-4,5-3,356,335,21,39,2-3,6-5
Minnesota Vikings,6,9,0,0.4,3-5,3-4,393,440,-47,50,3-2,4-7
Detroit Lions,5,10,0,0.333,1-6,4-4,342,482,-140,40,1-4,4-7
New Orleans Saints,11,4,0,0.733,6-2,5-2,449,330,119,55,5-0,9-2
Tampa Bay Buccaneers,10,5,0,0.667,4-3,6-2,448,328,120,54,3-2,7-4
Carolina Panthers,5,10,0,0.333,2-5,3-5,343,369,-26,37,1-4,4-7
Atlanta Falcons,4,11,0,0.267,2-6,2-5,369,370,-1,38,1-4,2-9
Seattle Seahawks,11,4,0,0.733,7-1,4-3,433,348,85,52,3-2,8-3
Los Angeles Rams,9,6,0,0.6,5-2,4-4,354,289,65,42,2-3,8-3
Arizona Cardinals,8,7,0,0.533,4-4,4-3,403,349,54,48,2-3,6-5
San Francisco 49ers,6,9,0,0.4,1-6,5-3,353,364,-11,43,3-2,4-7